# Rime table
# coding: utf-8
#@/db_name  custom_phrase.txt
#@/db_type	tabledb

# 码表各字段以制表符（Tab）分隔
# 顺序为：文字 编码  权重（决定重码的次序、可选）

Rime	rime
中州韻輸入法引擎	rime
鼠须管	rime
Rime Input Method Engine	rime
https://rime.im/	rime
Squirrel	rime

# OS
OS	os
Android	and
Windows	win
Linux	lin
Unix	uni
iOS	ios

# 符号
⌘	cmd
⌃	ctl
⌥	opt
⇧	shift

################################################################################

# 英文缩写
application programming interface	api
API	api
应用程序接口	api

by the way	btw
BTW	btw
顺便说一句		btw
顺带一提	btw

Creative Commons	cc
CC BY-SA 3.0	cc
知识共享	cc

CRUD	crud
增删查改	crud
创读更删	crud

Do It Yourself	diy
DIY	diy
自己动手做		diy
亲力亲为	diy

DRY	dry
Don't repeat yourself	dry
不要重复你自己	dry
DSL	dsl
领域特定语言	dsl
domain-specific language	dsl

GNU General Public License	gpl
GPL	gpl
GNU通用公共许可协议	gpl

GNU's Not Unix	gnu
GNU	gnu

GTD	gtd
Getting Things Done	gtd
搞定	gtd

Software Development Kit	SDK
软件开发工具包	SDK
SDK	sdk

Integrated Development Environment	IDE
IDE	ide
集成开发环境	IDE

KISS	kiss
Keep It Simple, Stupid	kiss

GUI	gui
Graphical User Interface	gui
图形用户界面	gui

CLI	cli
Command Line Interface	cli
命令行用户界面	cli

TUI	tui
Terminal User Interface	tui
终端用户界面	tui
Text-based User Interface	tui
基于文本的用户界面	tui

VIP	vip
贵宾	vip
Very Important Person	vip

PTSD	ptsd
Post-traumatic stress disorder	ptsd
创伤后应激障碍	ptsd

PoC	poc
概念验证	poc
Proof of concept	poc
为观点提供证据	poc

TL;DR	tldr
tl;dr	tldr
too long; didn't read	tldr
太长不看	tldr
长话短说	tldr

UGC	ugc
user-generated content	ugc
用户创造内容	ugc
user-generated cumber	ugc
用户创造麻烦	ugc

SLOC	sloc
Source lines of code	sloc
源代码行数		sloc
LOC	loc
lines of code	loc
程序行数	loc

FYI	fyi
供你参考	fyi
For Your Information	fyi

FAQ	faq
常见问题	faq
Frequently Asked Question	faq

PS	ps
附言	ps
Photoshop	ps
PostScript	ps

TBD	tbd
待决定	tbd
待商议	tbd
To Be Determined	tbd

OOO	ooo
不在办公室		ooo
没上班	ooo
Out of Office	ooo

CC	cc
抄送	cc
carbon copy	cc

BCC	bcc
隐秘抄送	bcc
blind carbon copy	bcc

NSFW	nsfw
不适于工作场所	nsfw
Not Safe For Work	nsfw

又双叒叕	yyy
